"date","Stock","Value","Sector"
2000-01-26,"AAPL",0.984366096582566,"Tech"
2000-01-26,"MSFT",0.852547202364057,"Tech"
2000-01-26,"NVDA",0.867819700533071,"Tech"
2000-01-26,"BP",0.931987317565053,"Energy"
2000-01-26,"SHEL",0.974736767115481,"Energy"
2000-01-26,"XOM",1.06624142090317,"Energy"
2000-01-26,"HSBC",0.85057424540769,"Finance"
2000-01-26,"BCS",0.848484874759971,"Finance"
2000-01-26,"JPM",1.08241976527208,"Finance"
2000-01-26,"GS",1.00066365415138,"Finance"
2000-01-26,"JNJ",0.905762855271268,"Healthcare"
2000-01-26,"PFE",1.09411755697962,"Healthcare"
2000-01-26,"UNH",1.02441839133087,"Healthcare"
2000-01-27,"AAPL",0.982691401082997,"Tech"
2000-01-27,"MSFT",0.84718514869487,"Tech"
2000-01-27,"NVDA",0.822426512590312,"Tech"
2000-01-27,"BP",0.920297615736978,"Energy"
2000-01-27,"SHEL",0.946324494056916,"Energy"
2000-01-27,"XOM",1.03431738874992,"Energy"
2000-01-27,"HSBC",0.871795019583063,"Finance"
2000-01-27,"BCS",0.892316413788846,"Finance"
2000-01-27,"JPM",1.11346892453304,"Finance"
2000-01-27,"GS",1.00916797680917,"Finance"
2000-01-27,"JNJ",0.873219854721073,"Healthcare"
2000-01-27,"PFE",1.08235290396984,"Healthcare"
2000-01-27,"UNH",1.00813927930692,"Healthcare"
2000-01-28,"AAPL",0.907872625613181,"Tech"
2000-01-28,"MSFT",0.842895591675239,"Tech"
2000-01-28,"NVDA",0.798402510837712,"Tech"
2000-01-28,"BP",0.917109858817432,"Energy"
2000-01-28,"SHEL",0.911578849304859,"Energy"
2000-01-28,"XOM",1.00718296287065,"Energy"
2000-01-28,"HSBC",0.848806395283522,"Finance"
2000-01-28,"BCS",0.865801050102081,"Finance"
2000-01-28,"JPM",1.0582697994138,"Finance"
2000-01-28,"GS",0.986490053874793,"Finance"
2000-01-28,"JNJ",0.916610112506459,"Healthcare"
2000-01-28,"PFE",1.1039226689972,"Healthcare"
2000-01-28,"UNH",0.979069752641357,"Healthcare"
2000-01-31,"AAPL",0.926856133285261,"Tech"
2000-01-31,"MSFT",0.839678907186431,"Tech"
2000-01-31,"NVDA",0.791727265053323,"Tech"
2000-01-31,"BP",0.913921424995936,"Energy"
2000-01-31,"SHEL",0.927377096793639,"Energy"
2000-01-31,"XOM",1.05826052413719,"Energy"
2000-01-31,"HSBC",0.864721596721666,"Finance"
2000-01-31,"BCS",0.848484874759971,"Finance"
2000-01-31,"JPM",1.11346892453304,"Finance"
2000-01-31,"GS",1.0389329811177,"Finance"
2000-01-31,"JNJ",0.933559156743883,"Healthcare"
2000-01-31,"PFE",1.13529446670399,"Healthcare"
2000-01-31,"UNH",0.986046225055846,"Healthcare"
2000-02-01,"AAPL",0.89558861079107,"Tech"
2000-02-01,"MSFT",0.883110322977589,"Tech"
2000-02-01,"NVDA",0.810409303579022,"Tech"
2000-02-01,"BP",0.926674201337491,"Energy"
2000-02-01,"SHEL",0.928421479496496,"Energy"
2000-02-01,"XOM",1.06225074997552,"Energy"
